model_family,method,label_variant,method_category,auroc_mean,auroc_ci_low,auroc_ci_high,auprc_mean,auprc_ci_low,auprc_ci_high,precision_at_k_mean,precision_at_k_ci_low,precision_at_k_ci_high,n_proteins
Baseline (04),random_mean,original,Null baseline,0.4985,0.4969,0.5001,0.2683,0.2212,0.3212,0.2494,0.2021,0.3024,58
Baseline (04),attention_weights,original,Model-internal signal,0.4438,0.4151,0.4752,0.2468,0.1985,0.3008,0.2131,0.1622,0.2703,58
Baseline (04),integrated_gradients,original,Post-hoc attribution,0.4328,0.3932,0.4772,0.255,0.2046,0.3103,0.2189,0.1633,0.2776,58
MTL (05 frozen),random_mean,original,Null baseline,0.4997,0.4984,0.5009,0.2692,0.2218,0.3226,0.2512,0.2034,0.3041,58
MTL (05 frozen),attention_weights,original,Model-internal signal,0.4478,0.4211,0.4774,0.2462,0.1983,0.299,0.2126,0.1615,0.2699,58
MTL (05 frozen),integrated_gradients,original,Post-hoc attribution,0.4434,0.4022,0.4886,0.2583,0.2075,0.3142,0.2218,0.1654,0.2821,58
MTL (05 frozen),occlusion,original,Perturbation sensitivity,0.4943,0.4748,0.5132,0.2691,0.2222,0.321,0.2398,0.191,0.2922,58
MTL (05 frozen),residue_head,original,Supervised residue predictor,0.6495,0.6047,0.6882,0.3735,0.3099,0.4416,0.3378,0.2723,0.4051,58
MTL (06 top1_unfrozen),random_mean,original,Null baseline,0.4997,0.4984,0.5009,0.2692,0.2218,0.3226,0.2512,0.2034,0.3041,58
MTL (06 top1_unfrozen),attention_weights,original,Model-internal signal,0.4477,0.4202,0.4783,0.2467,0.1988,0.2999,0.214,0.1623,0.2719,58
MTL (06 top1_unfrozen),integrated_gradients,original,Post-hoc attribution,0.4475,0.4059,0.4923,0.2589,0.2083,0.3147,0.2226,0.1663,0.2827,58
MTL (06 top1_unfrozen),occlusion,original,Perturbation sensitivity,0.4936,0.4729,0.5133,0.2699,0.2221,0.3213,0.2396,0.1903,0.2945,58
MTL (06 top1_unfrozen),residue_head,original,Supervised residue predictor,0.6368,0.5979,0.674,0.358,0.2974,0.4236,0.3228,0.2644,0.3865,58
